s1,s2
"The Inaccessible Island rail (Laterallus rogersi) is a small bird of the rail family, Rallidae",Inaccessible Island rail scientific name Laterallus rogersi
The Inambari gnatcatcher (Polioptila attenboroughi) is a species of bird in the family Polioptilidae,Inambari gnatcatcher scientific name Polioptila attenboroughi
The Inambari woodcreeper (Lepidocolaptes fatimalimae) is a species of bird in the subfamily Dendrocolaptinae,Inambari woodcreeper scientific name Lepidocolaptes fatimalimae
The Inca flycatcher (Leptopogon taczanowskii) is a species of bird in the family Tyrannidae,Inca flycatcher scientific name Leptopogon taczanowskii
"The Inca jay or querrequerre (Cyanocorax yncas) is a bird species of the New World jays, which is native to the Andes of South America",Inca jay scientific name Cyanocorax yncas
"The  Inca tern (Larosterna inca) is a Near Threatened species of bird in subfamily Sterninae of the family Laridae, the gulls, terns, and skimmers",Inca Tern scientific name Larosterna inca
The Indian blackbird (Turdus simillimus) is a member of the thrush family Turdidae,Indian blackbird scientific name Turdus simillimus
The Indian bush lark (Mirafra erythroptera) is a species of lark in the family Alaudidae found in South Asia,Indian bush lark scientific name Mirafra erythroptera
The Indian cormorant or Indian shag (Phalacrocorax fuscicollis) is a member of the cormorant family,Indian cormorant scientific name Phalacrocorax fuscicollis
"The  Indian cuckoo (Cuculus micropterus) is a member of the cuckoo order of birds, the Cuculiformes, that is found in the Indian subcontinent and Southeast Asia",Indian cuckoo scientific name Cuculus micropterus
The Indian golden oriole (Oriolus kundoo) is a species of oriole found in the Indian subcontinent and Central Asia,Indian golden oriole scientific name Oriolus kundoo
The Indian grassbird (Graminicola bengalensis) is a passerine bird in the family Pellorneidae,Indian grassbird scientific name Graminicola bengalensis
The Indian nightjar (Caprimulgus asiaticus) is a small nightjar which is a resident breeder in open lands across South Asia and Southeast Asia,Indian nightjar scientific name Caprimulgus asiaticus
The Indian nuthatch (Sitta castanea) is a species of bird in the family Sittidae,Indian nuthatch scientific name Sitta castanea
"The Indian peafowl (Pavo cristatus), also known as the common peafowl, and blue peafowl, is a peafowl species native to the Indian subcontinent",Indian peafowl scientific name Pavo cristatus
The Indian robin (Copsychus fulicatus)[note 1] is a species of passarine bird in the family Muscicapidae,Indian robin scientific name Copsychus fulicatus
The Indian scops owl (Otus bakkamoena) is a species of owl native to South Asia,Indian scops owl scientific name Otus bakkamoena
The Indian silverbill or white-throated munia (Euodice malabarica) is a small passerine bird found in the Indian Subcontinent and adjoining regions that was formerly considered to include the closely related African silverbill (Euodice cantans),Indian silverbill scientific name Euodice malabarica
"The Indian spotted creeper (Salpornis spilonota) is a small passerine bird, which is a member of the subfamily Salpornithinae which is placed along with the treecreepers in the family Certhiidae",Indian spotted creeper scientific name Salpornis spilonota
The Indian stone-curlew or Indian thick-knee (Burhinus indicus) is a species of bird in the family Burhinidae,Indian stone-curlew scientific name Burhinus indicus
The Indian swiftlet or Indian edible-nest swiftlet  (Aerodramus unicolor) is a small swift,Indian swiftlet scientific name Aerodramus unicolor
"The Indian vulture (Gyps indicus) is an Old World vulture native to India, Pakistan and Nepal",Indian vulture scientific name Gyps indicus
"The indigo bunting (Passerina cyanea) is a small seed-eating bird in the cardinal family, Cardinalidae",indigo bunting scientific name Passerina cyanea
The Indigo-banded kingfisher (Ceyx cyanopectus) is a species of bird in the family Alcedinidae,Indigo-banded kingfisher scientific name Ceyx cyanopectus
"The Indochinese barbet (Psilopogon annamensis), also called Annam barbet, is a bird belonging to the family Megalaimidae",Indochinese barbet scientific name Psilopogon annamensis
The Indochinese blue flycatcher (Cyornis sumatrensis) is a species of bird in the family Muscicapidae,Indochinese blue flycatcher scientific name Cyornis sumatrensis
The Indochinese bush lark (Mirafra erythrocephala) or Indochinese lark is a species of lark in the family Alaudidae found in southeast Asia,Indochinese bush lark scientific name Mirafra erythrocephala
The Indochinese cuckooshrike (Lalage polioptera) is a species of bird in the family Campephagidae,Indochinese cuckooshrike scientific name Lalage polioptera
"The Indochinese green magpie (Cissa hypoleuca) or yellow-breasted magpie, is a passerine bird of the crow family, Corvidae",Indochinese green magpie scientific name Cissa hypoleuca
"The Indochinese roller (Coracias affinis) or Burmese roller, is a member of the roller bird family",Indochinese roller scientific name Coracias affinis
The Indochinese yuhina or chestnut-collared yuhina (Staphida torqueola) is a bird in the family Zosteropidae,Indochinese yuhina scientific name Staphida torqueola
The inland thornbill (Acanthiza apicalis) was originally described by English ornithologist John Gould in The Birds of Australia,inland thornbill scientific name Acanthiza apicalis
"The intermediate egret, median egret, smaller egret, or yellow-billed egret (Ardea intermedia) is a medium-sized heron",intermediate egret scientific name Ardea intermedia
"The Iphis monarch (Pomarea iphis), or Ua Huka flycatcher, is a species of bird in the family Monarchidae",Iphis monarch scientific name Pomarea iphis
The Iquitos gnatcatcher (Polioptila clementsi) is a bird in the family Polioptilidae,Iquitos gnatcatcher scientific name Polioptila clementsi
"The Iraq babbler (Argya altirostris) is a species of bird in the family Leiothrichidae, native to reed beds of the Tigris-Euphrates Valley",Iraq babbler scientific name Argya altirostris
The Iringa akalat (Sheppardia lowei) is a species of bird in the family Muscicapidae,Iringa akalat scientific name Sheppardia lowei
The Iriomote tit (Sittiparus olivaceus) is a small passerine bird in the tit family Paridae,Iriomote tit scientific name Sittiparus olivaceus
"The iris lorikeet (Saudareos iris) is a small, up to 20 cm long, green lorikeet bird",lorikeet scientific name Iris lorikeet
The Isabela oriole (Oriolus isabellae) is a species of the oriole family endemic to Luzon in the Philippines,Isabela oriole scientific name Oriolus isabellae
The isabelline shrike or Daurian shrike (Lanius isabellinus) is a member of the shrike family (Laniidae),Isabelline Shrike scientific name Lanius isabellinus
"The isabelline wheatear (Oenanthe isabellina) is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher in the family Muscicapidae",Isabelline Wheatear scientific name Oenanthe Isabellina
"The island bronze-naped pigeon (Columba malherbii), also known as the São Tomé bronze-naped pigeon, is a species of bird in the family Columbidae",island bronze-naped pigeon scientific name Columba malherbii
The island imperial pigeon (Ducula pistrinaria) is a species of bird in the family Columbidae,Island Imperial Pigeon scientific name Ducula pistrinaria
The island leaf warbler (Phylloscopus poliocephalus) is a species of Old World warbler in the family Phylloscopidae,Island Leaf Warbler scientific name Phylloscopus poliocephalus
"The island scrub jay (Aphelocoma insularis), also known as the island jay or Santa Cruz jay, is a bird in the genus, Aphelocoma, which is endemic to Santa Cruz Island off the coast of Southern California",island scrub jay scientific name Aphelocoma insularis
The island whistler (Pachycephala phaionota) is a species of bird in the family Pachycephalidae endemic to the Moluccas (Indonesia),island whistler scientific name Pachycephala phaionota
The islet kingfisher (Todiramphus colonus) is a species of bird in the family Alcedinidae,islet kingfisher scientific name Todiramphus colonus
The isthmian wren (Cantorchilus elutus) is a species of bird in the family Troglodytidae,Isthmian Wren scientific name Cantorchilus elutus
"The Italian sparrow (Passer italiae), also known as the cisalpine sparrow, is a passerine bird of the sparrow family Passeridae, found in Italy and other parts of the Mediterranean region",Italian sparrow scientific name Passer italiae
"The Itatiaia spinetail (Asthenes moreirae), also known as the Itatiaia thistletail, is a species of bird in the family Furnariidae",Itatiaia spinetail scientific name Asthenes moreirae
The Itombwe flycatcher (Muscicapa itombwensis) is a bird species in the Old World flycatcher family (Muscicapidae),Itombwe flycatcher scientific name Muscicapa itombwensis
"The Ituri batis or Chapin's batis (Batis ituriensis) is a species of bird in the wattle-eye family, Platysteiridae which is found in the humid forests of eastern central Africa",Ituri batis scientific name Batis ituriensis
"The ivory gull (Pagophila eburnea) is a small gull, the only species in the genus Pagophila",ivory gull scientific name Pagophila eburnea
The ivory-backed woodswallow (Artamus monachus) is a species of bird in the family Artamidae,ivory-backed woodswallow scientific name Artamus monachus
The ivory-billed coucal or greater black coucal (Centropus menbeki) is a species of cuckoo in the family Cuculidae,ivory-billed coucal scientific name Centropus menbeki
"The ivory-billed woodcreeper (Xiphorhynchus flavigaster) is a species of bird of the order of Passeriformes, which are perching birds",ivory-billed woodcreeper scientific name Xiphorhynchus flavigaster
The ivory-breasted pitta (Pitta maxima) is a species of bird in the family Pittidae,Pitta maxima scientific name Pitta maxima
The Izu thrush or Izu Islands thrush (Turdus celaenops) is a bird of the thrush family native to Japan,Izu thrush scientific name Turdus celaenops
The gabar goshawk (Micronisus gabar) is a small species of African and Arabian bird of prey in the family Accipitridae,Gabar Goshawk scientific name Micronisus gabar
The Gabela akalat (Sheppardia gabela) is a species of bird in the family Muscicapidae,Gabela akalat scientific name Sheppardia gabela
"The Gabela helmetshrike (Prionops gabela) is a species of bird in the Vanga family Vangidae, formerly usually included in the Malaconotidae",Gabela helmetshrike scientific name Prionops gabela
The Gabon coucal (Centropus anselli) is a species of cuckoo in the family Cuculidae,Gabon coucal scientific name Centropus anselli
The Gabon woodpecker (Dendropicos gabonensis) is a species of small woodpecker in the family Picidae which occurs in western central Africa,Gabon woodpecker scientific name Dendropicos gabonensis
The gadwall (Mareca strepera) is a common and widespread dabbling duck[2] in the family Anatidae,gadwall scientific name Mareca strepera
"The galah (/ɡəˈlɑː/; Eolophus roseicapilla), also known as the pink and grey cockatoo or rose-breasted cockatoo,[2] is the only species within genus Eolophus of the cockatoo family",galah scientific name Eolophus roseicapilla
"The Galapagos crake (Laterallus spilonota), also called the Galapagos rail and Darwin's rail, is a Vulnerable species of rail in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots",Galapagos crake scientific name Laterallus spilonota
The Galápagos dove (Zenaida galapagoensis) is a species of bird in the family Columbidae,Galápagos dove scientific name Zenaida galapagoensis
The Galápagos flycatcher (Myiarchus magnirostris) also known as the large-billed flycatcher is a species of bird in the family Tyrannidae,Galápagos flycatcher scientific name Myiarchus magnirostris
The Galápagos hawk (Buteo galapagoensis) is a large hawk endemic to most of the Galápagos Islands,Galápagos hawk scientific name Buteo galapagoensis
"The Galápagos martin (Progne modesta) is a species of bird in the family Hirundinidae, endemic to the Galápagos Islands",Galápagos martin scientific name Progne modesta
The Galápagos mockingbird (Mimus parvulus) is a species of bird in the family Mimidae,Galápagos mockingbird scientific name Mimus parvulus
"The Galápagos penguin (Spheniscus mendiculus) is a penguin endemic to the Galápagos Islands, Ecuador",Galápagos penguin scientific name Spheniscus mendiculus
The Galápagos petrel (Pterodroma phaeopygia) is one of the six endemic seabirds of the Galápagos,Galápagos petrel scientific name Pterodroma phaeopygia
The Gambaga flycatcher (Muscicapa gambagae) is a species of bird in the family Muscicapidae,Gambaga flycatcher scientific name Muscicapa gambagae
Gambel's quail (Callipepla gambelii) is a small ground-dwelling bird in the New World quail family,Gambel's quail scientific name Callipepla gambelii
"The gang-gang cockatoo (Callocephalon fimbriatum) is a parrot found in the cooler and wetter forests and woodlands of Australia, particularly alpine bushland",gang-gang cockatoo scientific name Callocephalon fimbriatum
The Gansu leaf warbler (Phylloscopus kansuensis) is a small passerine bird known only from China,Gansu leaf warbler scientific name Phylloscopus kansuensis
"The garden emerald (Chlorostilbon assimilis) is a small hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",Garden Emerald scientific name Chlorostilbon assimilis
The garden warbler (Sylvia borin) is a common and widespread small bird that breeds in most of Europe and in the Palearctic to western Siberia,Garden Warbler scientific name Sylvia borin
The garganey (Spatula querquedula) is a small dabbling duck,garganey scientific name Spatula querquedula
The garnet robin (Eugerygone rubra) is a species of bird in the family Petroicidae,garnet robin scientific name Eugerygone rubra
The garnet-throated hummingbird (Lamprolaima rhami) is a species of hummingbird in tribe Lampornithini of subfamily Trochilinae,garnet-throated hummingbird scientific name Lamprolaima rhami
"Garrett's reed warbler (Acrocephalus musae), sometimes called Society Islands reed warbler or Forster's reed-warbler was a songbird in the genus Acrocephalus",Garrett's reed warbler scientific name Acrocephalus musae
The Geelvink pygmy parrot  (Micropsitta geelvinkiana) is a species of parrot in the family Psittacidae endemic to Biak and Numfoor islands in Western New Guinea,Geelvink pygmy parrot scientific name Micropsitta geelvinkiana
The Genovesa cactus finch (Geospiza propinqua) is a species of bird in the tanager family Thraupidae,Genovesa cactus finch scientific name Geospiza propinqua
"The gentoo penguin (/ˈdʒɛntuː/ JEN-too) (Pygoscelis papua) is a penguin species (or possibly a species complex) in the genus Pygoscelis, most closely related to the Adélie penguin (P",Gentoo Penguin scientific name Pygoscelis papua
Germain's peacock-pheasant (Polyplectron germaini) is a pheasant that is endemic to Indochina,Germain's peacock-pheasant scientific name Polyplectron germaini
The giant antpitta (Grallaria gigantea) is a perching bird species in the antpitta family (Grallariidae),Giant Antpitta scientific name Grallaria gigantea
"The giant antshrike (Batara cinerea) is a species of bird in the family Thamnophilidae, belonging to the monotypic genus Batara",Giant Antshrike scientific name Batara cinerea
"The giant coot (Fulica gigantea) is a species of bird in subfamily Rallinae of family Rallidae, the rails, gallinules, and coots",Giant Coot scientific name Fulica gigantea
The giant coua (Coua gigas) is a bird species from the coua genus in the cuckoo family that is endemic to the dry forests of western and southern Madagascar,Giant Coua scientific name Coua gigas
The giant honeyeater or duetting giant honeyeater (Gymnomyza brunneirostris) is a species of bird in the family Meliphagidae,Giant Honeyeater scientific name Gymnomyza brunneirostris
"The giant hummingbird (Patagona gigas) is the only member of the genus Patagona and the largest member of the hummingbird family, weighing 18–24 g (0",Giant Hummingbird scientific name Patagona gigas
The giant kingbird (Tyrannus cubensis) is a species of bird in the tyrant flycatcher family Tyrannidae endemic to Cuba,Giant Kingbird scientific name Tyrannus cubensis
"The giant kingfisher (Megaceryle maxima) is the largest kingfisher in Africa, where it is a resident breeding bird over most of the continent south of the Sahara Desert, other than the arid southwest",Giant Kingfisher scientific name Megaceryle maxima
The giant nuthatch (Sitta magna) is a species of bird in the family Sittidae,giant nuthatch scientific name Sitta magna
The giant pitta (Hydrornis caeruleus) is a species of bird in the family Pittidae,Giant Pitta scientific name Hydrornis caeruleus
"The giant scops owl (Otus gurneyi), lesser eagle-owl or the Mindanao eagle-owl, is a species of owl in the family Strigidae",Giant Scops Owl scientific name Otus gurneyi
The giant snipe (Gallinago undulata) is a stocky wader,Giant Snipe scientific name Gallinago undulata
The giant sunbird (Dreptes thomensis) is a species of bird in the family Nectariniidae,Giant Sunbird scientific name Dreptes thomensis
The giant weaver (Ploceus grandis) is a species of bird in the family Ploceidae,giant weaver scientific name Ploceus grandis
"The giant white-eye, or Palau greater white-eye (Megazosterops palauensis) is a species of bird in the family Zosteropidae",giant white-eye scientific name Megazosterops palauensis
"The giant wood rail (Aramides ypecaha) is a species of bird in the subfamily Rallinae of the rail, crake, and coot family Rallidae",Giant wood rail scientific name Aramides ypecaha
The giant wren (Campylorhynchus chiapensis) is a species of bird in the family Troglodytidae,giant wren scientific name Campylorhynchus chiapensis
The gibberbird (Ashbyia lovensis) is a species of chat within the Meliphagidae family of passerine birds,gibberbird scientific name Ashbyia lovensis
The Gila woodpecker (Melanerpes uropygialis) is a medium-sized woodpecker of the desert regions of the southwestern United States and western Mexico,Gila woodpecker scientific name Melanerpes uropygialis
"Gilbert's honeyeater (Melithreptus chloropsis), also known as the Swan River honeyeater or western white-naped honeyeater, is a passerine bird of the honeyeater family Meliphagidae native to southwestern Australia",Gilbert's honeyeater scientific name Melithreptus chloropsis
"The Gilbert's whistler (Pachycephala inornata) is a monotypic species of bird endemic to Australia, scattered in semi-arid zones of southern Australia",Gilbert's whistler scientific name Pachycephala inornata
"The gilded barbet (Capito auratus) is a species of bird in the family Capitonidae, the New World barbets, and are close relatives of the toucans",gilded barbet scientific name Capito auratus
"The gilded flicker (Colaptes chrysoides) is a large-sized woodpecker (mean length of 29 cm (11 in)) of the Sonoran, Yuma, and eastern Colorado Desert regions of the southwestern United States and northwestern Mexico, including all of Baja California, except the extreme northwestern region",gilded flicker scientific name Colaptes chrysoides
"The gilded sapphire (Hylocharis chrysura), also known as the gilded hummingbird, is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",Gilded sapphire scientific name Hylocharis chrysura
The Gizo white-eye or yellow-billed white-eye (Zosterops luteirostris) is a species of bird in the family Zosteropidae,Gizo white-eye scientific name Zosterops luteirostris
"The glaucous gull (Larus hyperboreus) is a large gull, the second-largest gull in the world",glaucous gull scientific name Larus hyperboreus
"The glaucous macaw (Anodorhynchus glaucus) is a critically endangered or possibly extinct species of large, blue and grey South American parrot, a member of a large group of neotropical parrots known as macaws",glaucous macaw scientific name Anodorhynchus glaucus
The glaucous tanager (Thraupis glaucocolpa) is a species of bird in the family Thraupidae,glaucous tanager scientific name Thraupis glaucocolpa
"The glaucous-winged gull (Larus glaucescens) is a large, white-headed gull",glaucous-winged gull scientific name Larus glaucescens
The glistening-green tanager (Chlorochrysa phoenicotis) is a species of bird in the family Thraupidae,Glistening-green tanager scientific name Chlorochrysa phoenicotis
"The glittering-throated emerald (Chionomesa fimbriata) is a species of hummingbird in the ""emeralds"", tribe Trochilini of subfamily Trochilinae",glittering-throated emerald scientific name Chionomesa fimbriata
"The glossy antshrike (Sakesphorus luctuosus) is a species of bird in the family Thamnophilidae, the antbirds",glossy antshrike scientific name Sakesphorus luctuosus
The glossy flowerpiercer (Diglossa lafresnayii) is a species of bird in the family Thraupidae,glossy flowerpiercer scientific name Diglossa lafresnayii
The glossy ibis (Plegadis falcinellus) is a water bird in the order Pelecaniformes and the ibis and spoonbill family Threskiornithidae,glossy ibis scientific name Plegadis falcinellus
The glossy-mantled manucode (Manucodia ater) is a species of bird-of-paradise,glossy-mantled manucode scientific name Plegadis falcinellus
"The glowing puffleg (Eriocnemis vestita) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",glowing puffleg scientific name Eriocnemis vestita
"The glow-throated hummingbird (Selasphorus ardens) is an Endangered species of hummingbird in tribe Mellisugini of subfamily Trochilinae, the ""bee hummingbirds""",glow-throated hummingbird scientific name Selasphorus ardens
Godlewski's bunting (Emberiza godlewskii) is a species of bird in the family Emberizidae,Godlewski's bunting scientific name Emberiza godlewskii
The Gola malimbe or Ballman's malimbe (Malimbus ballmanni) is a species of bird in the family Ploceidae,Gola malimbe scientific name Malimbus ballmanni
The goldcrest (Regulus regulus) is a very small passerine bird in the kinglet family,goldcrest scientific name Regulus regulus
The golden babbler (Cyanoderma chrysaeum) is a babbler species in the family Timaliidae,golden babbler scientific name Cyanoderma chrysaeum
"The golden bowerbird (Prionodura newtoniana) is a species of bird in the family Ptilonorhynchidae, the bowerbirds",golden bowerbird scientific name Prionodura newtoniana
"The golden bush robin (Tarsiger chrysaeus) or golden bush-robin was first discovered in 1845 by Brian Houghton Hodgson, a British naturalist",Golden Bush Robin scientific name Tarsiger chrysaeus
The golden cuckooshrike (Campochaera sloetii) is a species of bird in the family Campephagidae,golden cuckooshrike scientific name Campochaera sloetii
"The golden fruit dove (Ptilinopus luteovirens), also known as the lemon dove or yellow dove, is a small, approximately 20 cm (8 in) long, short-tailed fruit-dove in the family Columbidae",golden fruit dove scientific name Ptilinopus luteovirens
"The golden grosbeak (Pheucticus chrysogaster), also known as golden-bellied grosbeak or southern yellow grosbeak, is a species of grosbeak in the family Cardinalidae",Golden Grosbeak scientific name Pheucticus chrysogaster
"The golden masked owl (Tyto aurantia) is a barn owl endemic to the island of New Britain, Papua New Guinea",Barn Owl scientific name Tyto aurantia
The golden myna (Mino anais) is a species of starling in the family Sturnidae,Golden Myna scientific name Mino anais
The golden nightjar (Caprimulgus eximius) is a species of nightjar in the family Caprimulgidae,golden nightjar scientific name Caprimulgus eximius
"The golden palm weaver (Ploceus bojeri) is a species of bird in the weaver family, Ploceidae",golden palm weaver scientific name Ploceus bojeri
"The golden pipit (Tmetothylacus tenellus) is a distinctive pipit of dry country grassland, savanna and shrubland in eastern Africa",golden pipit scientific name Tmetothylacus tenellus
The golden tanager (Tangara arthus) is a species of bird in the family Thraupidae,golden tanager scientific name Tangara arthus
The golden vireo (Vireo hypochryseus) is a species of bird in the family Vireonidae,golden vireo scientific name Vireo hypochryseus
The golden-backed bishop (Euplectes aureus) is a species of bird in the family Ploceidae,golden-backed bishop scientific name Euplectes aureus
"The golden-backed weaver (Ploceus jacksoni), also known as Jackson's weaver, is a species of bird in the family Ploceidae",golden-backed weaver scientific name Ploceus jacksoni
"The golden-backed whistler (Pachycephala aurea) or yellow-backed whistler, is a species of bird in the family Pachycephalidae",golden-backed whistler scientific name Pachycephala aurea
The golden-bellied flycatcher (Myiodynastes hemichrysus) is a passerine bird in the tyrant flycatcher family,golden-bellied flycatcher scientific name Myiodynastes hemichrysus
The golden-bellied flyrobin (Microeca hemixantha) is a species of bird in the family Petroicidae,flyrobin scientific name Microeca hemixantha
The golden-bellied gerygone (Gerygone sulphurea) is a species of bird in the family Acanthizidae,Gerygone sulphurea scientific name Gerygone sulphurea
"The golden-bellied starfrontlet (Coeligena bonapartei) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",starfrontlet scientific name Coeligena bonapartei
The golden-bellied warbler has been split into two species:,Golden-bellied Warbler scientific name Setophaga chrysoparia
The golden-bellied white-eye (Zosterops uropygialis) is a species of bird in the family Zosteropidae,golden-bellied white-eye scientific name Zosterops uropygialis
The golden-billed saltator (Saltator aurantiirostris) is a species of saltator in the family Thraupidae,golden-billed saltator scientific name Saltator aurantiirostris
The golden-breasted bunting (Emberiza flaviventris) is a passerine bird in the bunting family Emberizidae,golden-breasted bunting scientific name Emberiza flaviventris
The golden-breasted fruiteater (Pipreola aureopectus) is a species of bird in the family Cotingidae,golden-breasted fruiteater scientific name Pipreola aureopectus
"The golden-breasted fulvetta (Lioparus chrysotis) is a species of songbird found in Bhutan, China, India, Myanmar, Nepal, and Vietnam",golden-breasted fulvetta scientific name Lioparus chrysotis
"The golden-breasted puffleg (Eriocnemis mosquera) is a species of hummingbird in the ""brilliants"", tribe Heliantheini in subfamily Lesbiinae",golden-breasted puffleg scientific name Eriocnemis mosquera
"The golden-breasted starling (Lamprotornis regius), also known as royal starling, is a medium-sized passerine in the starling family",golden-breasted starling scientific name Lamprotornis regius
The golden-browed chat-tyrant (Silvicultrix pulchella) is a species of passerine bird in the family Tyrannidae,Golden-browed chat-tyrant scientific name Silvicultrix pulchella
The golden-browed chlorophonia (Chlorophonia callophrys) is a species of bird in the family Fringillidae,golden-browed chlorophonia scientific name Chlorophonia callophrys
"The golden-browed warbler (Basileuterus belli) is a species of bird in the family Parulidae, the New World warblers",golden-browed warbler scientific name Basileuterus belli
The golden-cheeked woodpecker (Melanerpes chrysogenys) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-cheeked woodpecker scientific name Melanerpes chrysogenys
The golden-chested tanager (Bangsia rothschildi) is a species of bird in the family Thraupidae,golden-chested tanager scientific name Bangsia rothschildi
The golden-chevroned tanager (Thraupis ornata) is a species of bird in the family Thraupidae,golden-chevroned tanager scientific name Thraupis ornata
The golden-collared honeycreeper (Iridophanes pulcherrimus) is an uncommon species of Neotropical bird in the tanager family Thraupidae,golden-collared honeycreeper scientific name Iridophanes pulcherrimus
"The golden-collared macaw or yellow-collared macaw (Primolius auricollis) is a small mostly green Central South American parrot, a member of a large group of Neotropical parrots known as macaws",macaw scientific name Primolius auricollis
The golden-collared manakin (Manacus vitellinus) is a species of bird in the family Pipridae,golden-collared manakin scientific name Manacus vitellinus
The golden-collared tanager (Iridosornis jelskii) is a species of bird in the family Thraupidae,golden-collared tanager scientific name Iridosornis jelskii
"The golden-crested myna (Ampeliceps coronatus) is a species in the starling and myna family, Sturnidae",golden-crested myna scientific name Ampeliceps coronatus
The golden-crowned babbler (Sterrhoptilus dennistouni) is a species of bird in the family Zosteropidae,golden-crowned babbler scientific name Sterrhoptilus dennistouni
The golden-crowned flycatcher (Myiodynastes chrysocephalus) is a species of bird in the family Tyrannidae,golden-crowned flycatcher scientific name Myiodynastes chrysocephalus
The golden-crowned kinglet (Regulus satrapa) is a very small songbird in the family Regulidae that lives throughout much of North America,golden-crowned kinglet scientific name Regulus satrapa
The golden-crowned spadebill (Platyrinchus coronatus) is a species of bird in the family Tyrannidae,golden-crowned spadebill scientific name Platyrinchus coronatus
The golden-crowned tanager (Iridosornis rufivertex) is a species of bird in the family Thraupidae,golden-crowned tanager scientific name Iridosornis rufivertex
The golden-crowned warbler (Basileuterus culicivorus) is a small New World warbler,golden-crowned warbler scientific name Basileuterus culicivorus
The golden-eared tanager (Tangara chrysotis) is a species of bird in the tanager family Thraupidae,golden-eared tanager scientific name Tangara chrysotis
The goldenface (Pachycare flavogriseum) is a species of passerine bird endemic to New Guinea,Goldenface scientific name Pachycare flavogriseum
The golden-faced tyrannulet (Zimmerius chrysops) is a species of bird belonging to the family Tyrannidae,golden-faced tyrannulet scientific name Zimmerius chrysops
"The golden-fronted bowerbird (Amblyornis flavifrons) is a medium-sized, approximately 24 cm long, brown bowerbird",golden-fronted bowerbird scientific name Amblyornis flavifrons
"The golden-fronted fulvetta (Schoeniparus variegaticeps), also known as the gold-fronted fulvetta, is a species of bird in the family Pellorneidae",golden-fronted fulvetta scientific name Schoeniparus variegaticeps
The golden-fronted leafbird (Chloropsis aurifrons) is a species of leafbird,Golden-fronted Leafbird scientific name Chloropsis aurifrons
"The golden-fronted whitestart (Myioborus ornatus) or the golden-fronted redstart, is a species of bird in the family Parulidae",golden-fronted whitestart scientific name Myioborus ornatus
The golden-fronted woodpecker (Melanerpes aurifrons) is a species of bird in subfamily Picinae of the woodpecker family Picidae,golden-fronted woodpecker scientific name Melanerpes aurifrons
